Demo Section;Page ID;Title;Description;URL Primary;URL Secondary;Image for portal;status
01 - Twitter Exploration;01a-1;Tweets history;An historical view of tweets collected each day in the platform;http://10.3.220.50/views/HavenLiveDemos-01a-GlobalTweets/1-History?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01a-GlobalTweets/1-History?:embed=y;01a-1-History.png;PROD
01 - Twitter Exploration;01a-2;Tweets & Languages;Current number of tweets and languages stored in the platform;http://10.3.220.50/views/HavenLiveDemos-01a-GlobalTweets/2-CountLang?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01a-GlobalTweets/2-CountLang?:embed=y;01a-2-CountLang.png;PROD
01 - Twitter Exploration;01a-3;Last 10 minutes;Tweets collected during the last minutes with sentiment analysis;http://10.3.220.50/views/HavenLiveDemos-01a-GlobalTweets/3-Last10minutes?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01a-GlobalTweets/3-Last10minutes?:embed=y;01a-3-Last10minutes.png;PROD
01 - Twitter Exploration;01a-4;Tweets Geo map;Positioning geotagged tweets on a world map;http://10.3.220.50/views/HavenLiveDemos-01a-GlobalTweets/4-GeoMap?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01a-GlobalTweets/4-GeoMap?:embed=y;01a-4-GeoMap.png;PROD
01 - Twitter Exploration;01a-5;Influencers Wordmap;Influencers per number of tweets for a fixed period of time;http://10.3.220.50/views/HavenLiveDemos-01a-GlobalTweets/5-InfluencersWordMap?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01a-GlobalTweets/5-InfluencersWordMap?:embed=y;01a-5-InfluencersWordMap.png;PROD
01 - Twitter Exploration;01a-6;Influencers per day;View of influencers per day;http://10.3.220.50/views/HavenLiveDemos-01a-GlobalTweets/6-InfluencersBubbles?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01a-GlobalTweets/6-InfluencersBubbles?:embed=y;01a-6-InfluencersBubbles.png;PROD
01 - Twitter Exploration;01a-7;Influencers dashboard;Positioning the influencers by number of tweets & sentiment;http://10.3.220.50/views/HavenLiveDemos-01a-GlobalTweets/7-InfluencersPerSentiment?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01a-GlobalTweets/7-InfluencersPerSentiment?:embed=y;01a-7-InfluencersPerSentiment.png;PROD
01 - Twitter Exploration;01b-1;Hashtag Wordmap;A view of hashtags at a given moment of time;http://10.3.220.50/views/HavenLiveDemos-01b-Hashtags/1-HashtagsWordsMap?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01b-Hashtags/1-HashtagsWordsMap?:embed=y;01b-1-HashtagsWordsMap.png;PROD
01 - Twitter Exploration;01b-2;Hashtags per day;Hashtag evolution per day;http://10.3.220.50/views/HavenLiveDemos-01b-Hashtags/2-BubblesPerDay?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01b-Hashtags/2-BubblesPerDay?:embed=y;01b-2-BubblesPerDay.png;PROD
01 - Twitter Exploration;01b-3;Hashtags and sentiment;Mixing hastags and associated sentiments over time;http://10.3.220.50/views/HavenLiveDemos-01b-Hashtags/3-SentimentEvolution?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01b-Hashtags/3-SentimentEvolution?:embed=y;01b-3-SentimentEvolution.png;PROD
01 - Twitter Exploration;01b-4;Hashtag Geo map;Showing where hastags appear on a map based on geotagged tweets;http://10.3.220.50/views/HavenLiveDemos-01b-Hashtags/4-GeoFollowUp?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01b-Hashtags/4-GeoFollowUp?:embed=y;01b-4-GeoFollowUp.png;PROD
01 - Twitter Exploration;01c-1;Customization - Sentiment per week;Following twitter activity and sentiment associated to companies;http://10.3.220.50/views/HavenLiveDemos-01c-CustomTweets/1-SentimEvolutionPerDay?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01c-CustomTweets/1-SentimEvolutionPerDay?:embed=y;01c-1-SentimEvolutionPerDay.png;PROD
01 - Twitter Exploration;01c-2;Customization - Sentiment per day;Following twitter activity and sentiment associated to companies;http://10.3.220.50/views/HavenLiveDemos-01c-CustomTweets/2-SentimEvolutionPerHour?:embed=y ;http://10.3.220.51/views/HavenLiveDemos-01c-CustomTweets/2-SentimEvolutionPerHour?:embed=y ;01c-2-SentimEvolutionPerHour.png;PROD
01 - Twitter Exploration;01c-3;Customization - Tweets per min;Following twitter activity and sentiment associated to companies;http://10.3.220.50/views/HavenLiveDemos-01c-CustomTweets/3-TweetsPerMin?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01c-CustomTweets/3-TweetsPerMin?:embed=y;01c-3-TweetsPerMin.png;PROD
